"Source:","/home/kolbe/Arduino/arduino-motorfocus/hardware/arduino-motorfocus/arduino-motorfocus.kicad_sch"
"Date:","Sat 23 Sep 2023 21:14:49 CEST"
"Tool:","Eeschema 7.0.7-7.0.7~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","1","A1","Arduino_Nano_v3.x","MCU_Module:Arduino_Nano_v3.x","Module:Arduino_Nano","http://www.mouser.com/pdfdocs/Gravitech_Arduino_Nano3_0.pdf",""
"2","1","A2","Pololu_Breakout_A4988","Driver_Motor:Pololu_Breakout_A4988","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2980/pictures",""
"3","1","C1","10uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~",""
"4","1","C2","100uF","Device:C_Polarized","Capacitor_SMD:CP_Elec_6.3x5.9","~",""
"5","1","D1","Moving","Device:LED","LED_SMD:LED_0805_2012Metric","~",""
"6","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3","~",""
"7","1","J1","Motor","Connector:Conn_01x04_Pin","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~",""
"8","1","J2","PWR_MOTOR","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","https://de.aliexpress.com/item/1005002561919358.html",""
"9","1","J3","Debug","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~",""
"10","1","J4","I2C","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~",""
"11","1","J5","STEPS","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~",""
"12","1","J6","ULN2003A","Connector:Conn_01x06_Pin","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~",""
"13","1","J7","PWR_MOTOR","Connector:Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~",""
"14","1","R1","10K","Device:R","Resistor_SMD:R_1206_3216Metric","~",""
"15","1","R2","680","Device:R","Resistor_SMD:R_1206_3216Metric","~",""
"16","1","RV1","SPEED","Device:R_Potentiometer","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","https://de.aliexpress.com/item/1005003399827077.html",""
"17","1","SW1","IN","Switch:SW_Push","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~",""
"18","1","SW2","OUT","Switch:SW_Push","Button_Switch_SMD:SW_SPST_CK_RS282G05A3","~",""
"19","1","SW3","WIN","Switch:SW_DIP_x01","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","~",""
"20","1","U1","DS18B20","Sensor_Temperature:DS18B20","Package_TO_SOT_THT:TO-92_Inline","http://datasheets.maximintegrated.com/en/ds/DS18B20.pdf",""
